registrikood;nimi;staatus;kehtiv_alates;kehtiv_kuni
11373916;Bright solution OÜ;kehtiv;2012-10-09;
11374258;Cuce-Camp OÜ;kehtiv;2015-12-10;
11418273;Iliotech Group OÜ;kehtiv;2016-03-11;
11449499;UPA Building OÜ;kehtiv;2010-04-22;
11788014;Triimoon Trade OÜ;kehtiv;2009-12-18;
11878510;WinWinPartner OÜ;kehtiv;2014-05-07;
11920608;Direccion OÜ;kehtiv;2014-10-30;
11977867;Kaevukohvik OÜ;kehtiv;2011-01-10;
12026281;Plastekor OÜ;kehtiv;2026-05-07;
12046361;OKO restoranid OÜ;kehtiv;2011-03-03;
12046361;OKO restoranid OÜ;kehtiv;2014-03-03;
12073458;Bilanss & Associates OÜ;kehtiv;2011-04-29;
12106235;Eluruumid OÜ;kehtiv;2017-04-22;
12182265;Tianmga OÜ;kehtiv;2012-12-28;
12238534;KADAKA KONVERENTSID OÜ;kehtiv;2021-01-20;
12367192;HR OÜ;kehtiv;2020-01-24;
12379884;HORECA EDU OÜ;kehtiv;2023-10-17;
12410714;Moder Grupp OÜ;kehtiv;2014-06-30;
12502043;LRS Design OÜ;kehtiv;2017-05-02;
12512952;OÜ Merivart;kehtiv;2023-12-30;
12551627;Haljason OÜ;kehtiv;2021-05-01;
12599093;Marmik OÜ;kehtiv;2024-01-23;
12624250;RCG Eesti OÜ;kehtiv;2019-04-08;
12640029;Bukamba Kouniakong OÜ;kehtiv;2014-07-15;
12670912;PIKSA OÜ;kehtiv;2016-07-04;
12777857;GooDrink OÜ;kehtiv;2017-11-27;
12829146;Savilaane Ehitus OÜ;kehtiv;2019-06-04;
12844430;Monterexiamo Trading OÜ;kehtiv;2024-03-05;
12846699;Britvare OÜ;kehtiv;2015-06-01;
12984378;Wix Teenused OÜ;kehtiv;2022-09-09;
14011237;Golik Inpro Group OÜ;kehtiv;2016-05-12;
14074367;Kojak OÜ;kehtiv;2016-07-09;
14176843;Sakkeus OÜ;kehtiv;2017-06-01;
14210250;Peosaal OÜ;kehtiv;2025-09-17;
14338524;Payongo Omubugoigo OÜ;kehtiv;2018-11-18;
14339145;Tormituuled OÜ;kehtiv;2018-01-08;
14569809;Ehitusnorm OÜ;kehtiv;2021-04-04;
14593788;Tõnissoni Söögituba OÜ;kehtiv;2018-10-27;
14613670;Tarhan OÜ;kehtiv;2020-03-03;
14669994;peimad OÜ;kehtiv;2021-08-09;
14704526;Oreton OÜ;kehtiv;2020-06-03;
14731109;AP Teed OÜ;kehtiv;2023-11-18;
14873111;Baltevo OÜ;kehtiv;2025-10-31;
14875819;Nova Assets OÜ;kehtiv;2020-08-30;
14953672;OÜ Asjatundja;kehtiv;2024-08-13;
16037040;Cocktail Sprout OÜ;kehtiv;2022-08-23;
16297634;OÜ N&V;kehtiv;2019-07-12;
16440043;Intrezo OÜ;kehtiv;2022-08-25;
16472221;Jürivärava OÜ;kehtiv;2022-04-26;
16477075;FE LOGISTIGS OÜ;kehtiv;2024-08-28;
16605811;Alfredo OÜ;kehtiv;2023-03-09;
16805616;Kifka UÜ;kehtiv;2026-01-02;
16965484;M&K GROUP UÜ;kehtiv;2025-02-27;
75016102;Tallinna Loomaaed;kehtiv;2014-05-30;
75016102;Tallinna Loomaaed;kehtiv;2014-05-30;
75016102;Tallinna Loomaaed;kehtiv;2014-05-30;
90003278;Sihtasutus Virumaa Muuseumid;kehtiv;2005-04-25;
90003278;Sihtasutus Virumaa Muuseumid;kehtiv;2005-05-03;
90003278;Sihtasutus Virumaa Muuseumid;kehtiv;2012-10-25;
90012432;Sihtasutus Haapsalu ja Läänemaa Muuseumid;kehtiv;2014-01-28;
90012585;Sihtasutus Eesti Vabaõhumuuseum;kehtiv;2020-11-26;
90013957;Sihtasutus Saaremaa Muuseum;kehtiv;2018-02-19;
16592215;- Mazeduzzaman;kehtiv;2024-05-16;
14397679;180 OÜ;kehtiv;2018-07-09;
16392671;1E Market OÜ;kehtiv;2022-08-06;
14813675;1JetiFoods OÜ;kehtiv;2019-11-22;
14177417;22resto OÜ;kehtiv;2017-02-21;
14090716;3DFoodlab OÜ;kehtiv;2017-07-25;
12830534;3ST OÜ;kehtiv;2016-04-01;
12000361;4 Sisters OÜ;kehtiv;2016-08-02;
16594295;4Sisters Catering OÜ;kehtiv;2022-12-07;
12474525;720 KRAADI OÜ;kehtiv;2013-08-23;
14027876;7ürti OÜ;kehtiv;2016-05-04;
14705690;818 OÜ;kehtiv;2020-06-22;
16099940;9spice OÜ;kehtiv;2020-12-15;
14410546;A&A Gourmet Food OÜ;kehtiv;2021-02-26;
14828004;A&K Union OÜ;kehtiv;2021-05-27;
16661821;A&M Toila OÜ;kehtiv;2023-04-03;
11214891;A&T Prisce OÜ;kehtiv;2009-06-04;
16827003;A&T SolWorks OÜ;kehtiv;2023-10-10;
12627632;A.S Solutions OÜ;kehtiv;2022-04-15;
14244071;A.U.S PARTNERS OÜ;kehtiv;2017-05-05;
12627112;A2 GRUPP OÜ;kehtiv;2016-04-25;
10661607;AARE REBBAN;kehtiv;2004-07-09;
10661607;AARE REBBAN;kehtiv;2006-04-19;
11378871;AB Expert OÜ;kehtiv;2012-11-13;
12912195;AB MARK OÜ;kehtiv;2020-07-21;
14404221;ABC RESTO OÜ;kehtiv;2018-01-29;
16130710;ABCatering OÜ;kehtiv;2021-01-17;
12636200;ABInva Eesti OÜ;kehtiv;2017-06-15;
12463751;ABalancedSelf OÜ;kehtiv;2016-02-20;
14197302;ACME Creations OÜ;kehtiv;2020-03-01;
11909216;AG Service OÜ;kehtiv;2011-10-14;
17243408;AGROSS TEENUSED OÜ;kehtiv;2025-09-16;
11512884;AGT KÖÖGID OÜ;kehtiv;2013-01-25;
14621131;AHT22 Residence OÜ;kehtiv;2019-05-24;
14621148;AHT22 TWO OÜ;kehtiv;2019-05-24;
10445915;AIA TALU;kehtiv;2008-02-11;
12255372;AILORE OÜ;kehtiv;2012-06-26;
10755640;AIMAR HANSEN;kehtiv;2005-05-13;
16799703;AIME kartul OÜ;kehtiv;2024-05-14;
14214839;AIR Food OÜ;kehtiv;2017-06-11;
16207246;AK kebab OÜ;kehtiv;2021-06-02;
14748417;AKresto24 OÜ;kehtiv;2019-08-28;
12576432;AL.Truumaa Turism OÜ;kehtiv;2013-12-30;
12658147;ALATI AVATUD OÜ;kehtiv;2014-06-11;
11586919;ALERION Service OÜ;kehtiv;2022-05-17;
10732845;ALEXEY TALASHMANOV;kehtiv;2010-04-07;
14323149;ALKA Consult OÜ;kehtiv;2024-06-21;
16452968;ALS OÜ;kehtiv;2025-10-22;
14231861;AM Hotel OÜ;kehtiv;2017-06-27;
12745567;AM Pubid OÜ;kehtiv;2015-02-03;
16394188;AMD Keskus OÜ;kehtiv;2022-03-11;
12076646;AMINATES OÜ;kehtiv;2018-11-01;
14162574;AMISTADABALTIC OÜ;kehtiv;2018-04-20;
11961027;AMU Teenused OÜ;kehtiv;2010-08-17;
11961027;AMU Teenused OÜ;kehtiv;2010-12-17;
11737212;ANDI INVEST OÜ;kehtiv;2013-05-03;
14052153;ANSIV GRUPP Osaühing;kehtiv;2018-11-01;
14272431;ANSU AIAND OÜ;kehtiv;2017-08-14;
14737342;AO Food OÜ;kehtiv;2019-08-30;
14706369;APL Fresh Food OÜ;kehtiv;2019-10-23;
14381885;APL Restoranid Tartu OÜ;kehtiv;2019-02-15;
14453283;APL Restoranid Ülemiste OÜ;kehtiv;2019-06-18;
12248805;APR OÜ;kehtiv;2021-05-06;
12929215;AQUA GLOBAL OÜ;kehtiv;2022-03-22;
11001119;ARBAVERE PUHKEKESKUS OÜ;kehtiv;2004-05-26;
12411263;ARIPO OÜ;kehtiv;2013-04-10;
10091877;ARIRAN OÜ;kehtiv;2025-01-22;
11254577;ARM Services OÜ;kehtiv;2007-01-29;
10060285;ARMONTI TOITLUSTUSE OSAÜHING;kehtiv;2004-04-26;
16685371;ARNAIR OÜ;kehtiv;2023-06-17;
16565187;ARRE Investments OÜ;kehtiv;2022-09-16;
12926317;ART5 Spirits OÜ;kehtiv;2015-10-07;
10020297;AS Eesti Leivatööstus;kehtiv;2018-06-28;
10285216;AS Hotell Stroomi;kehtiv;2005-04-05;
10285216;AS Hotell Stroomi;kehtiv;2005-04-05;
10953787;AS Sokotel;kehtiv;2005-03-23;
10953787;AS Sokotel;kehtiv;2005-03-23;
10953787;AS Sokotel;kehtiv;2005-03-23;
10953787;AS Sokotel;kehtiv;2005-03-23;
10953787;AS Sokotel;kehtiv;2005-03-23;
10953787;AS Sokotel;kehtiv;2005-04-26;
10953787;AS Sokotel;kehtiv;2006-10-26;
11206785;AS Tallinn Airport GH;kehtiv;2025-10-01;
11514334;AS Tallinna Kontserdimaja;kehtiv;2009-10-08;
10171518;AS Terminal;kehtiv;2014-07-11;
10358725;AS Wasa;kehtiv;2005-04-15;
10358725;AS Wasa;kehtiv;2005-04-15;
10358725;AS Wasa;kehtiv;2008-04-28;
17329425;AS4FOOD OÜ;kehtiv;2025-10-08;
16811806;ASA RESTO OÜ;kehtiv;2023-09-06;
17254199;ASIAN TASTE OÜ;kehtiv;2025-07-16;
16045938;ASIAN WOK OÜ;kehtiv;2021-04-05;
12232253;ASK Intergroup OÜ;kehtiv;2025-07-10;
14027273;ASPEKT GRUPP OÜ;kehtiv;2023-06-21;
14470436;AT Food OÜ;kehtiv;2018-09-25;
11045307;ATSI VEOD OÜ;kehtiv;2008-02-29;
16220666;AURUM 21 OÜ;kehtiv;2021-09-13;
11443947;AV Trading OÜ;kehtiv;2012-09-13;
14541099;AZAMOM OÜ;kehtiv;2024-02-14;
12502505;AZEST TRAVEL OÜ;kehtiv;2015-04-08;
11134695;Aasatiim OÜ;kehtiv;2011-03-01;
14793961;Aasia Restoran OÜ;kehtiv;2019-09-03;
14742567;AasiaKöök OÜ;kehtiv;2019-08-16;
16156537;Aasiaköök Grupp OÜ;kehtiv;2021-02-10;
11259037;Aavikunurga OÜ;kehtiv;2017-07-04;
12749176;Abatem OÜ;kehtiv;2023-11-17;
14041155;Abcanime OÜ;kehtiv;2025-07-23;
10274307;Abja Tarbijate Ühistu;kehtiv;2005-04-15;
10274307;Abja Tarbijate Ühistu;kehtiv;2005-10-21;
12986006;Absolutely Baltic OÜ;kehtiv;2019-09-26;
14701611;Actall OÜ;kehtiv;2019-12-13;
16471888;Adehade OÜ;kehtiv;2022-08-10;
11433989;Adrenal OÜ;kehtiv;2016-12-11;
12162892;Aedniku Pubi OÜ;kehtiv;2011-10-24;
12576900;Aegna Teenused OÜ;kehtiv;2016-05-21;
14910314;Aegviidu Jaamahoone OÜ;kehtiv;2020-02-13;
17181661;Aegviidu Konnake OÜ;kehtiv;2026-04-17;
12965561;Aerobalt Logistics OÜ;kehtiv;2018-09-03;
17424496;Aftersky OÜ;kehtiv;2026-03-05;
16559123;Agentpro OÜ;kehtiv;2023-06-21;
11700373;Agiato OÜ;kehtiv;2009-11-17;
12556085;Agrant OÜ;kehtiv;2023-08-03;
16953185;AgriTrade Solutions OÜ;kehtiv;2025-09-09;
12036865;Agrosol Grupp OÜ;kehtiv;2024-07-29;
14983928;Ahjutegu OÜ;kehtiv;2020-06-08;
14313725;Ahjuvaht OÜ;kehtiv;2018-06-25;
16220531;Ahluka CO OÜ;kehtiv;2021-09-16;
17377097;Ahvileib Bakery OÜ;kehtiv;2026-02-04;
16735650;Aia Squer Plus OÜ;kehtiv;2023-05-13;
17174098;Aiataimed OÜ;kehtiv;2025-08-08;
11964014;Aida kohvik OÜ;kehtiv;2011-01-07;
14400298;Aikis OÜ;kehtiv;2018-02-01;
11936992;Ailor OÜ;kehtiv;2010-07-14;
10499325;Ain Mango;kehtiv;2019-07-25;
16934762;Ainfood OÜ;kehtiv;2024-04-04;
12006568;Aire Hallap;kehtiv;2017-07-06;
11922961;Airiin OÜ;kehtiv;2020-06-12;
10195447;Airo Catering Services Eesti Osaühing;kehtiv;2004-11-03;
10195447;Airo Catering Services Eesti Osaühing;kehtiv;2009-09-22;
14438131;Airon Foods OÜ;kehtiv;2024-08-14;
16377221;Airport Hotel OP OÜ;kehtiv;2022-02-17;
14083828;Aitikk Invest OÜ;kehtiv;2017-06-09;
17138043;Aivaravai OÜ;kehtiv;2025-06-30;
10266845;Aktsiaselts AGDECK;kehtiv;2005-04-14;
10266845;Aktsiaselts AGDECK;kehtiv;2005-04-14;
10266845;Aktsiaselts AGDECK;kehtiv;2007-11-13;
10379414;Aktsiaselts DZINGEL;kehtiv;2005-04-05;
10379414;Aktsiaselts DZINGEL;kehtiv;2005-04-05;
10379414;Aktsiaselts DZINGEL;kehtiv;2005-05-10;
10379414;Aktsiaselts DZINGEL;kehtiv;2006-05-30;
10109324;Aktsiaselts GMP Grupp;kehtiv;2009-12-02;
10296289;Aktsiaselts Johan GTJ;kehtiv;2005-03-07;
10296289;Aktsiaselts Johan GTJ;kehtiv;2007-10-09;
10046003;Aktsiaselts Kaarma KT;kehtiv;2005-04-12;
10867071;Aktsiaselts Kihnu Veeteed;kehtiv;2008-08-04;
10867071;Aktsiaselts Kihnu Veeteed;kehtiv;2008-08-22;
10867071;Aktsiaselts Kihnu Veeteed;kehtiv;2009-06-17;
10867071;Aktsiaselts Kihnu Veeteed;kehtiv;2010-08-30;
10117341;Aktsiaselts LIVIKO;kehtiv;2024-02-07;
10463860;Aktsiaselts Mahtra Teeninduse;kehtiv;2005-04-18;
10228767;Aktsiaselts NARVA-JÕESUU SANATOORIUM;kehtiv;2005-10-19;
10228767;Aktsiaselts NARVA-JÕESUU SANATOORIUM;kehtiv;2014-04-21;
10339030;Aktsiaselts Pihlaka;kehtiv;2004-05-19;
10339030;Aktsiaselts Pihlaka;kehtiv;2005-08-10;
10339030;Aktsiaselts Pihlaka;kehtiv;2010-09-08;
10185976;Aktsiaselts Saare Kütus;kehtiv;2005-04-27;
10509288;Aktsiaselts Schlössle Hotel Group;kehtiv;2005-04-14;
10393101;Aktsiaselts Sorgent;kehtiv;2005-04-25;
10764017;Aktsiaselts Strand;kehtiv;2004-05-04;
10764017;Aktsiaselts Strand;kehtiv;2004-05-04;
10764017;Aktsiaselts Strand;kehtiv;2004-05-04;
10338119;Aktsiaselts TOILA SANATOORIUM;kehtiv;2005-03-30;
10338119;Aktsiaselts TOILA SANATOORIUM;kehtiv;2005-03-30;
10338119;Aktsiaselts TOILA SANATOORIUM;kehtiv;2005-09-19;
10338071;Aktsiaselts TRANSSERVIS-N;kehtiv;2005-03-01;
10002098;Aktsiaselts Taastusravikeskus Viiking;kehtiv;2004-11-24;
10002098;Aktsiaselts Taastusravikeskus Viiking;kehtiv;2004-11-25;
10179520;Aktsiaselts Tallink Duty Free;kehtiv;2010-08-18;
10005139;Aktsiaselts Talveaed;kehtiv;2005-05-11;
10348543;Aktsiaselts Tampe;kehtiv;2005-04-15;
10348543;Aktsiaselts Tampe;kehtiv;2014-10-22;
