registrikood;nimi;staatus;kehtiv_alates;kehtiv_kuni
10867546;Harry Heinami Jaani talu;kehtiv;2014-09-10;
17236244;HasGa OÜ;kehtiv;2025-07-04;
16750068;Hauka Kohvik OÜ;kehtiv;2023-08-10;
16173889;Hawaii bowl OÜ;kehtiv;2022-05-13;
14225116;Hea Koht OÜ;kehtiv;2017-10-31;
12810419;Hea Maa OÜ;kehtiv;2015-06-01;
12913510;Hea Õhtu OÜ;kehtiv;2015-10-12;
14652290;Hea Öö OÜ;kehtiv;2019-02-20;
14596700;Healthy Sweets OÜ;kehtiv;2022-07-01;
12974428;Heamaitse OÜ;kehtiv;2016-07-04;
12296141;Heaven Osaühing;kehtiv;2022-09-08;
14445585;Hektor Design Hostels Tallinn OÜ;kehtiv;2020-01-30;
16149885;HelMar OÜ;kehtiv;2023-05-29;
12845079;Helanel OÜ;kehtiv;2015-05-08;
12377603;Helgi Käer;kehtiv;2013-01-07;
12800527;Heli catering OÜ;kehtiv;2015-02-18;
12000784;Helika Äri Osaühing;kehtiv;2010-11-30;
14807195;Helitehas OÜ;kehtiv;2019-10-14;
11334000;Helitos Trade OÜ;kehtiv;2008-02-27;
10413464;Helle Juhkentaal;kehtiv;2005-04-15;
16199400;Hendrik & Sons OÜ;kehtiv;2021-07-12;
11228019;Hendrik Hansen Skulptuuristuudio OÜ;kehtiv;2009-05-26;
16526554;Hendrixon OÜ;kehtiv;2024-06-28;
16300052;Heralds OÜ;kehtiv;2024-04-24;
12818125;Herman OÜ;kehtiv;2015-04-24;
10088409;Herne Kaupluse Osaühing;kehtiv;2010-02-08;
14323273;Hets Toidutuba OÜ;kehtiv;2019-10-15;
16949232;Hevilihas OÜ;kehtiv;2025-10-09;
14339699;High Trading OÜ;kehtiv;2019-03-15;
16183184;Hiidlaine OÜ;kehtiv;2021-05-07;
16998704;Hiina Kulp OÜ;kehtiv;2025-06-25;
14673441;Hiina Pada OÜ;kehtiv;2019-05-20;
14488146;Hiina Pott OÜ;kehtiv;2019-05-20;
12238267;Hiina Tervisekeskus OÜ;kehtiv;2017-10-07;
17298328;Hiiu Käbi OÜ;kehtiv;2025-09-09;
14423023;Hiiu Pizza OÜ;kehtiv;2018-07-25;
16065214;Hiiu Roheline OÜ;kehtiv;2021-07-30;
16988213;Hiiumaa Ibiza OÜ;kehtiv;2024-05-28;
11393445;Hiiumaa Rannapaargu OÜ;kehtiv;2007-06-20;
16075804;Hiiumaale puhkama OÜ;kehtiv;2022-09-02;
14493578;Hiiunorbel OÜ;kehtiv;2018-05-24;
17236008;HiiuŠnäks OÜ;kehtiv;2025-06-01;2027-09-30
16761250;Hikaru OÜ;kehtiv;2023-10-20;
14239167;Hill Hill Holding OÜ;kehtiv;2017-12-13;
10085799;Hillar Kelti Tamme äri;kehtiv;2005-04-14;
17306499;Himgiri OÜ;kehtiv;2025-10-29;
14248028;Hindreku Turismitalu OÜ;kehtiv;2017-08-10;
14501131;Hipster Catering OÜ;kehtiv;2018-06-18;
14374738;Hispatime OÜ;kehtiv;2018-02-27;
14212355;Hizla Kamrangirchar OÜ;kehtiv;2017-10-11;
14903711;Hoba OÜ;kehtiv;2023-07-11;
12592299;Hobutots OÜ;kehtiv;2014-04-09;
14256447;Hoiuruum OÜ;kehtiv;2024-11-28;
16463104;Hola Siesta OÜ;kehtiv;2026-05-27;
10705380;Holland-Motors OÜ;kehtiv;2015-01-07;
11975503;Holmjet OÜ;kehtiv;2011-03-01;
12583805;Home Catering OÜ;kehtiv;2015-08-05;
14973019;Homekitchen OÜ;kehtiv;2020-05-27;
17286087;Honest Restaurant OÜ;kehtiv;2026-01-07;
11709196;Honwick OÜ;kehtiv;2011-05-20;
16706127;Hood OÜ;kehtiv;2023-05-02;
14257820;Hookah Lounge OÜ;kehtiv;2017-05-16;
16580577;Hooligaan BT&C OÜ;kehtiv;2022-11-25;
16364276;Hopsbar OÜ;kehtiv;2023-01-06;
12098820;Horveitex osaühing;kehtiv;2013-06-27;
17057352;Hotel Group BaltInn OÜ;kehtiv;2024-10-06;
12538897;Hotell Antonius OÜ;kehtiv;2013-12-04;
10041810;Hotell Olümpia OÜ;kehtiv;2005-05-25;
10041810;Hotell Olümpia OÜ;kehtiv;2005-05-25;
10041810;Hotell Olümpia OÜ;kehtiv;2005-05-25;
10041810;Hotell Olümpia OÜ;kehtiv;2005-05-25;
10041810;Hotell Olümpia OÜ;kehtiv;2005-05-25;
10041810;Hotell Olümpia OÜ;kehtiv;2005-05-25;
10041810;Hotell Olümpia OÜ;kehtiv;2005-05-25;
10041810;Hotell Olümpia OÜ;kehtiv;2005-05-25;
10041810;Hotell Olümpia OÜ;kehtiv;2005-05-25;
10098951;Hotell Tähetorni OÜ;kehtiv;2004-09-02;
12956927;Hotell Wesset OÜ;kehtiv;2015-12-23;
14847898;Hoton OÜ;kehtiv;2019-11-18;
14131929;HousePartner OÜ;kehtiv;2017-04-17;
17238740;Hubala OÜ;kehtiv;2025-07-25;
14474196;Hugo's Project Management OÜ;kehtiv;2018-06-15;
12871438;Huks Trading OÜ;kehtiv;2020-03-23;
14725391;Hulda OÜ;kehtiv;2020-01-27;
16068885;Humalapesa OÜ;kehtiv;2021-04-12;
14490025;Hungpung Mapum OÜ;kehtiv;2018-05-16;
11875828;Huntfood OÜ;kehtiv;2012-03-06;
11875828;Huntfood OÜ;kehtiv;2012-07-04;
11875828;Huntfood OÜ;kehtiv;2014-03-20;
11657973;Hunting Grupp OÜ;kehtiv;2014-10-15;
10826221;Härma Ehitus OÜ;kehtiv;2004-12-27;
16163098;Hääd mehed OÜ;kehtiv;2021-05-06;
14197354;Hõbe Taldrik OÜ;kehtiv;2017-05-08;
16740199;I Land Sound Festival OÜ;kehtiv;2024-06-14;
80416743;I Land Sound MTÜ;kehtiv;2017-06-14;
12983338;I TRAINE SERVICE OÜ;kehtiv;2020-02-16;
14366472;IBI RESTO OÜ;kehtiv;2017-11-10;
11555669;IBIZA OÜ;kehtiv;2009-06-25;
11874630;IGILIIKUR OÜ;kehtiv;2014-04-24;
16221341;IK Solutions OÜ;kehtiv;2024-05-31;
10677778;ILL & RO OÜ;kehtiv;2006-08-08;
11631577;IMISNO OÜ;kehtiv;2010-05-20;
14092106;INDIA TOIT OÜ;kehtiv;2017-01-19;
12723643;INTTI OÜ;kehtiv;2014-10-13;
16033237;IRNEH OÜ;kehtiv;2021-02-09;
16773129;IROLI OÜ;kehtiv;2023-08-18;
11361847;ITALBALTICA OÜ;kehtiv;2015-10-08;
12518966;ITALIA PROMOTIONS OÜ;kehtiv;2022-07-15;
12592684;IVMALA Grupp OÜ;kehtiv;2014-02-18;
11947145;IXF OÜ;kehtiv;2016-10-01;
14423833;Iberic tapas OÜ;kehtiv;2023-06-02;
12171385;Ibrahim OÜ;kehtiv;2012-05-17;
12260373;IceBox OÜ;kehtiv;2015-11-18;
11495080;Ida-India Kompanii OÜ;kehtiv;2008-07-09;
11717304;Ideal Markets OÜ;kehtiv;2011-05-10;
11949701;Ideboeinsukv OÜ;kehtiv;2011-08-25;
14690014;Ideraator OÜ;kehtiv;2020-07-06;
12815061;Ifoods OÜ;kehtiv;2018-05-02;
16476762;Iglooo OÜ;kehtiv;2025-01-12;
16002076;Iglupark OÜ;kehtiv;2021-12-17;
12367257;Iisaku toiduklubi OÜ;kehtiv;2014-12-11;
12944982;Ildirim OÜ;kehtiv;2015-12-21;
11089960;Ilus Ella OÜ;kehtiv;2013-06-06;
14619424;Ilvestments OÜ;kehtiv;2021-05-26;
14255138;Imelihtne OÜ;kehtiv;2017-09-05;
17220697;Imeväel OÜ;kehtiv;2026-05-28;
14422992;Imona OÜ;kehtiv;2018-04-10;
14262548;ImperialAilavi OÜ;kehtiv;2017-12-06;
10863512;Impuls EE OÜ;kehtiv;2008-08-15;
12940406;Inabere Tokunboh OÜ;kehtiv;2016-02-06;
14221519;Indi Holdings OÜ;kehtiv;2017-03-15;
14546056;India0Km OÜ;kehtiv;2019-03-12;
12576194;Inflatus OÜ;kehtiv;2020-03-01;
12876832;Infopro OÜ;kehtiv;2022-08-01;
12075954;Ingel Drinks OÜ;kehtiv;2011-04-24;
11990069;Ingelin Event OÜ;kehtiv;2020-04-23;
11493193;Ingli puudutus OÜ;kehtiv;2009-02-10;
11908435;Ingver kohvikud OÜ;kehtiv;2010-04-23;
16759980;Inna Kovalchuk;kehtiv;2023-10-26;
14187410;Innamorata OÜ;kehtiv;2017-06-14;
14132372;InnovSSK OÜ;kehtiv;2018-05-21;
14367313;Inseera OÜ;kehtiv;2018-08-29;
12842265;Intaur OÜ;kehtiv;2015-05-27;
16595627;Intent United OÜ;kehtiv;2022-11-14;
16942945;Intergrill OÜ;kehtiv;2024-03-25;
12148083;International Connect OÜ;kehtiv;2020-06-02;
11948274;Interrobang OÜ;kehtiv;2019-06-02;
16632050;Investoraatorid OÜ;kehtiv;2025-03-24;
12620386;Invictus OÜ;kehtiv;2014-07-24;
16162584;Inyathi Vleiloerie OÜ;kehtiv;2021-04-27;
14500321;Irise kohvik OÜ;kehtiv;2020-02-20;
12862646;Irma N-Jõesuu Osaühing;kehtiv;2016-05-31;
14073801;Isletes OÜ;kehtiv;2022-03-14;
11939772;Ismavik OÜ;kehtiv;2015-08-12;
11727389;Italest OÜ;kehtiv;2021-11-23;
11024895;Ivlis OÜ;kehtiv;2015-02-03;
14812055;J&I Resto OÜ;kehtiv;2019-12-11;
12867187;J&LL Master OÜ;kehtiv;2021-02-02;
14956630;J-WORKS OÜ;kehtiv;2024-06-17;
14838899;J.B. Invest OÜ;kehtiv;2023-10-06;
14378819;JACoffee OÜ;kehtiv;2021-05-03;
12469378;JAHH Catering OÜ;kehtiv;2013-09-16;
14945885;JAHH Pagarid OÜ;kehtiv;2025-07-31;
14706318;JAM finants ou OÜ;kehtiv;2021-12-17;
14722033;JK Catering OÜ;kehtiv;2019-08-16;
14240883;JK Haldus OÜ;kehtiv;2017-07-21;
16940350;JK Jewel OÜ;kehtiv;2024-05-30;
10204075;JK Taverni Osaühing;kehtiv;2005-04-07;
17372792;JL Toitlustus OÜ;kehtiv;2025-11-28;
14000475;JLM PROJEKT OÜ;kehtiv;2023-07-11;
16389342;JSR OÜ;kehtiv;2024-04-09;
14938454;JTG Group OÜ;kehtiv;2021-06-30;
16163307;JTKopper OÜ;kehtiv;2022-02-14;
14888816;JTTootele OÜ;kehtiv;2020-07-02;
16807816;JU&JE FOOD OÜ;kehtiv;2024-04-30;
11503649;JUHA LINDSTRÖM;kehtiv;2016-08-04;
11135246;JULE OÜ;kehtiv;2005-06-15;
12107973;JULIART OÜ;kehtiv;2018-02-13;
16068603;JUMAKE OÜ;kehtiv;2021-03-09;
16332371;JUSIF GROUP OÜ;kehtiv;2022-05-16;
14611434;JVK Holdings OÜ;kehtiv;2019-04-16;
10804343;Jaagumäe Kaubanduse OÜ;kehtiv;2005-04-20;
10804343;Jaagumäe Kaubanduse OÜ;kehtiv;2012-11-01;
14576583;Jaama Kohvik OÜ;kehtiv;2019-08-05;
10900584;Jaan Rooso;kehtiv;2017-07-05;
11877367;Jaaniranna OÜ;kehtiv;2010-04-27;
12622899;Jacobs OÜ;kehtiv;2014-08-19;
11231760;Jahimaja OÜ;kehtiv;2009-11-24;
11231760;Jahimaja OÜ;kehtiv;2010-07-19;
11231760;Jahimaja OÜ;kehtiv;2010-10-06;
11231760;Jahimaja OÜ;kehtiv;2013-06-14;
14636322;Jahu Group OÜ;kehtiv;2019-03-20;
16741431;Jahu Kõrts OÜ;kehtiv;2025-03-01;
14388806;Jaik OÜ;kehtiv;2024-03-25;
17168583;Jakob & Sons OÜ;kehtiv;2025-03-29;
12816971;Jalopex OÜ;kehtiv;2015-05-15;
14133609;Jamm Eesti OÜ;kehtiv;2024-12-07;
11249748;JanSalu Osaühing;kehtiv;2013-04-05;
14000570;Janeselke OÜ;kehtiv;2017-03-30;
16953512;Jannsenipizza OÜ;kehtiv;2024-05-17;
12483972;Janpal Grupp OÜ;kehtiv;2018-06-24;
16477388;Janune24 OÜ;kehtiv;2022-04-20;
11562617;Jarevald OÜ;kehtiv;2019-06-21;
12514626;Jarex Invest OÜ;kehtiv;2022-08-01;
14769313;Jasmin Catering OÜ;kehtiv;2020-01-30;
17098517;Jaswal OÜ;kehtiv;2025-09-10;
14251289;Jawilan Kutabumi OÜ;kehtiv;2018-03-29;
80595289;Jerwakant MTÜ;kehtiv;2025-07-14;
10178868;Jiang Xia Kaubanduse Osaühing;kehtiv;2007-07-19;
12327574;Jinli Da OÜ;kehtiv;2018-03-22;
14068763;Jiuru Jhongdou OÜ;kehtiv;2016-08-31;
12200786;Joiner OÜ;kehtiv;2012-04-11;
16200770;Jorjen Disain OÜ;kehtiv;2021-06-09;
14965497;JuSe Catering OÜ;kehtiv;2024-11-19;
12901398;Juggernaut OÜ;kehtiv;2016-08-31;
14114233;Juhkentali Hotel OÜ;kehtiv;2019-04-30;
16890326;JukuPizza OÜ;kehtiv;2024-02-01;
16712174;Julounge OÜ;kehtiv;2025-06-26;
14600583;Junimperium Baar OÜ;kehtiv;2019-04-15;
12892771;Jurvik OÜ;kehtiv;2015-09-08;
17210977;Juyal & Juyal OÜ;kehtiv;2025-07-21;
10097762;JÄRVA TARBIJATE ÜHISTU;kehtiv;2008-12-19;
16609973;Jälitaja OÜ;kehtiv;2022-12-12;
11020849;Järve Toitlustuse OÜ;kehtiv;2004-09-30;
16394550;Jää OÜ;kehtiv;2022-04-04;
17232559;Jõeääre Kohvik OÜ;kehtiv;2025-05-27;
10136232;Jõgeva Majandusühistu;kehtiv;2005-01-10;
75003298;Jõgeva Valla Kultuur;kehtiv;2009-12-03;
17374957;Jõulukohvik OÜ;kehtiv;2025-12-02;
14009329;K&K Catering OÜ;kehtiv;2018-10-10;
16136517;K&T Lokaal OÜ;kehtiv;2025-03-24;
16021317;K-Kalaranna OÜ;kehtiv;2021-11-30;
17318545;K-Relevant OÜ;kehtiv;2025-09-19;
12881537;K1R OÜ;kehtiv;2016-04-12;
12927038;KAFFEE OÜ;kehtiv;2016-08-03;
14783201;KAJAKAS PIZZA OÜ;kehtiv;2020-03-01;
10156430;KALEV TERA REISID;kehtiv;2022-06-13;
16410562;KANGUS STUDIOS OÜ;kehtiv;2024-03-05;
14853611;KANTIPUR OÜ;kehtiv;2020-11-05;
14872554;KARLSON INVEST OÜ;kehtiv;2020-09-01;
11612769;KARMAL OÜ;kehtiv;2009-06-12;
12030392;KARROKA LOGISTIK OÜ;kehtiv;2026-04-01;
12738567;KEYEST OÜ;kehtiv;2020-09-04;
12580770;KG Partners OÜ;kehtiv;2020-10-19;
16177290;KGL catering OÜ;kehtiv;2021-03-26;
16879017;KHACHAPURI Georgian Cafe OÜ;kehtiv;2023-12-15;
12098004;KHANKO GRUPP OÜ;kehtiv;2014-01-06;
16711521;KIBG Holding OÜ;kehtiv;2023-05-05;
10896598;KIIRA HAIROVA;kehtiv;2004-12-23;
10766157;KIKAS & REISID OÜ;kehtiv;2007-05-28;
16001817;KIKK Kohvikud OÜ;kehtiv;2021-05-01;
16109058;KIVI CLIMBING OÜ;kehtiv;2023-09-04;
12741925;KK Operatsioonide OÜ;kehtiv;2015-05-15;
16081153;KLUM Consulting OÜ;kehtiv;2020-10-22;
16233158;KM Custom OÜ;kehtiv;2022-06-08;
16239424;KNIGA OÜ;kehtiv;2021-06-01;
16469934;KOHALIK OÜ;kehtiv;2023-09-14;
14020845;KOHVIK MOKA OÜ;kehtiv;2024-06-10;
12232170;KOHVISTOPP OÜ;kehtiv;2012-07-12;
12236765;KOIDU KOHVIK OÜ;kehtiv;2013-03-14;
16834305;KOKTEILI OÜ;kehtiv;2023-10-12;
14873039;KONTEKTOR FOOD OÜ;kehtiv;2020-02-02;
14051395;KOOGIPOOD OÜ;kehtiv;2019-05-15;
11066195;KORTERI HALDUSE OÜ;kehtiv;2020-05-27;
14640387;KORVIT OÜ;kehtiv;2019-02-19;
12598066;KPK OÜ;kehtiv;2014-12-08;
14717434;KR Foods OÜ;kehtiv;2019-05-16;
16168664;KRCompany OÜ;kehtiv;2021-06-14;
14018073;KRIM Grupp OÜ;kehtiv;2016-04-12;
16313451;KT Pere OÜ;kehtiv;2021-10-01;
14455323;KTH Capital OÜ;kehtiv;2019-10-15;
17205924;KUJI OÜ;kehtiv;2025-05-27;
16919018;KUKLIKODA OÜ;kehtiv;2024-03-01;
14391040;KUKUMBER OÜ;kehtiv;2020-05-08;
16941093;KURGO RESTORAN OÜ;kehtiv;2024-04-29;
16971680;KUURI Kohvik OÜ;kehtiv;2024-05-24;
16320267;KYT Investments OÜ;kehtiv;2023-06-01;
17471258;Kaarli Pagar OÜ;kehtiv;2026-05-05;
14150453;Kabakoto Diangou OÜ;kehtiv;2018-02-07;
11925215;Kadaka Bistroo OÜ;kehtiv;2020-10-14;
10622560;Kaerajaan OÜ;kehtiv;2008-02-22;
14096877;Kaffel Catering OÜ;kehtiv;2017-03-09;2027-03-09
12782232;Kaffi Investments OÜ;kehtiv;2017-04-28;
10977658;Kailong Osaühing;kehtiv;2010-12-09;
16032746;Kaimi Linnutalu OÜ;kehtiv;2020-08-29;
11615986;Kaimo Adler;kehtiv;2010-06-22;
16097148;Kaiserhof OÜ;kehtiv;2021-05-31;
12574315;Kaisi Käsitööd OÜ;kehtiv;2021-05-10;
16161923;Kaisi OÜ;kehtiv;2025-02-12;
14532226;Kaja Projects OÜ;kehtiv;2025-03-05;
16080372;Kajali OÜ;kehtiv;2025-06-30;
14374900;Kaks Käbi OÜ;kehtiv;2022-05-31;
17247638;Kaks Pizzat OÜ;kehtiv;2025-07-21;
16419511;Kaks üks kaks OÜ;kehtiv;2024-07-03;
14008376;Kakumäe Toitlustus OÜ;kehtiv;2016-03-29;
16720431;Kakurega OÜ;kehtiv;2023-04-18;
14974533;Kalamaja Cats OÜ;kehtiv;2020-09-07;
14047838;Kalamaja Pizza OÜ;kehtiv;2016-09-05;
14765108;Kalamaja Plaza OÜ;kehtiv;2019-08-21;
16079825;Kalana Properties OÜ;kehtiv;2024-05-17;
12166639;Kalarand OÜ;kehtiv;2015-07-22;
16886075;Kalastusparadiis OÜ;kehtiv;2025-06-03;
11321492;Kalatrans OÜ;kehtiv;2010-12-28;
12877042;Kalaturg OÜ;kehtiv;2017-01-31;
10774760;Kaldavere OÜ;kehtiv;2013-04-01;
16589897;Kaljumari OÜ;kehtiv;2023-11-20;
10969179;Kalle Piile;kehtiv;2019-05-16;
16229070;Kalmini Kook & Kohv OÜ;kehtiv;2022-07-04;
12154105;Kamahouse Köök OÜ;kehtiv;2011-10-10;
14476462;Kambie OÜ;kehtiv;2018-10-24;
14778009;Kamecom OÜ;kehtiv;2020-07-29;
11019480;Kammipill OÜ;kehtiv;2021-08-16;
16079794;Kammu Grill OÜ;kehtiv;2024-02-02;
11015364;Kamoobia OÜ;kehtiv;2008-06-19;
14529566;Kampus OÜ;kehtiv;2019-03-01;
14189171;Kaneelipuu OÜ;kehtiv;2019-06-09;
14797097;Kanepi Hampsu OÜ;kehtiv;2019-11-29;
12764116;Kansas City Ribs OÜ;kehtiv;2015-04-06;
17172320;Kantribaar OÜ;kehtiv;2025-03-07;
12583662;Kanylatambi Swanachianga OÜ;kehtiv;2014-01-09;
12583662;Kanylatambi Swanachianga OÜ;kehtiv;2014-05-13;
16505222;Kao Thai OÜ;kehtiv;2022-05-27;
80555367;Kapa Events MTÜ;kehtiv;2019-05-24;
14568448;Kapsarull OÜ;kehtiv;2018-11-26;
14639409;Kapteni Kelder OÜ;kehtiv;2019-08-19;
12931672;Kapteni kohvik OÜ;kehtiv;2017-06-09;
12067794;Karaleva OÜ;kehtiv;2011-05-31;
17201530;Karaoke Baar OÜ;kehtiv;2025-03-21;
16982363;Kardemon Coffee OÜ;kehtiv;2024-05-21;
80183658;Karepa Selts;kehtiv;2025-06-19;
14022181;Karii OÜ;kehtiv;2023-12-15;
16899149;Karja 3 OÜ;kehtiv;2024-02-19;
12007208;Karl Investeeringud OÜ;kehtiv;2010-12-02;
12524240;Karlmuhust OÜ;kehtiv;2025-05-09;
14537488;Karmon Grupp OÜ;kehtiv;2018-08-05;
16942230;Karukohvik OÜ;kehtiv;2024-05-07;
12461640;Karulauk OÜ;kehtiv;2013-04-26;
12020663;Kassiaru OÜ;kehtiv;2013-04-24;
12664136;Kassikohvik OÜ;kehtiv;2014-11-14;
17090415;Kassipoeg OÜ;kehtiv;2024-11-26;
16048859;Kastekann OÜ;kehtiv;2020-09-21;
17184493;KatariinaRozalie OÜ;kehtiv;2025-05-18;
14889900;Katel OÜ;kehtiv;2020-01-20;
11947286;Kati Kohvik OÜ;kehtiv;2010-10-07;
14646349;Katty Köök Kodutoit OÜ;kehtiv;2019-08-24;
16217204;Katusekohvik OÜ;kehtiv;2024-03-20;
16626902;Kaubitrans OÜ;kehtiv;2024-07-17;
12917034;Kauges Külas OÜ;kehtiv;2016-01-01;
14419151;Kaunis Events OÜ;kehtiv;2018-02-02;
14452473;Kebab Stop OÜ;kehtiv;2022-07-10;
14724598;Kebaboom OÜ;kehtiv;2023-02-21;
17129229;Kebo OÜ;kehtiv;2025-01-11;
17433341;Keepsake OÜ;kehtiv;2026-05-20;
11661756;Kegel OÜ;kehtiv;2011-08-05;
16722497;Kehakinnitus OÜ;kehtiv;2023-05-26;
11790459;Kehra Spordipubi OÜ;kehtiv;2010-03-04;
16264178;Keila Leib OÜ;kehtiv;2023-05-26;
80089020;Keila Lions Klubi;kehtiv;2022-07-14;
10088042;Keila Tarbijate Ühistu;kehtiv;2005-03-22;
75025710;Keila Vallavalitsus;kehtiv;2014-07-17;
17210859;Kellive OÜ;kehtiv;2025-05-23;
12221367;Kelluke OÜ;kehtiv;2022-12-29;
12449067;Kelmar Catering OÜ;kehtiv;2013-06-05;
16914920;Kelt Adventure OÜ;kehtiv;2024-05-22;
14046916;Kentmanni Hotell OÜ;kehtiv;2019-09-05;
14651089;Keretäis OÜ;kehtiv;2019-07-15;
16277716;Kerli Koduköök OÜ;kehtiv;2022-06-09;
11793044;Kernu Kadakas OÜ;kehtiv;2009-12-31;
14049240;Kernu mõis OÜ;kehtiv;2016-11-15;
17036002;Kersti Katab Catering OÜ;kehtiv;2024-07-26;
12470414;Kerubo Wawuda OÜ;kehtiv;2013-08-14;
14418401;Kesklinna Kohvikud OÜ;kehtiv;2018-04-09;
12978277;Keszthely Alzopahok OÜ;kehtiv;2017-09-19;
11638734;Kevadekalad OÜ;kehtiv;2009-08-04;
14127170;Kevvai OÜ;kehtiv;2017-06-09;
16071982;Khakham Ourarrak OÜ;kehtiv;2021-05-03;
14362706;Khamsa OÜ;kehtiv;2017-11-14;
12224561;Kidise-Jaani Talu OÜ;kehtiv;2017-06-25;
14766579;Kigungu Bugonga OÜ;kehtiv;2019-09-17;
16537854;Kihnu Kohvik OÜ;kehtiv;2022-07-22;
14714571;Kihnu Külalistemaja OÜ;kehtiv;2020-05-27;
16510507;KihnuRito OÜ;kehtiv;2022-05-31;
14700149;Kiia Grill OÜ;kehtiv;2019-08-23;
14913052;Kiili Pizza OÜ;kehtiv;2021-06-07;
14614585;Kiiu Pubi OÜ;kehtiv;2018-12-25;
10112763;Kikas OÜ;kehtiv;2005-04-22;
14075830;Kilp ja kirves OÜ;kehtiv;2016-07-08;
14484036;Kinnika OÜ;kehtiv;2018-06-12;
12278440;Kinocandy OÜ;kehtiv;2012-05-15;
12278440;Kinocandy OÜ;kehtiv;2012-05-15;
16486051;Kinomaja OÜ;kehtiv;2023-08-29;
14740551;Kiosk OÜ;kehtiv;2019-08-26;
14005780;Kirele OÜ;kehtiv;2018-07-05;
10930680;Kirisilm OÜ;kehtiv;2011-04-25;
10938478;Kirna Mõis OÜ;kehtiv;2020-08-04;
12859905;Kirsikoda OÜ;kehtiv;2015-10-27;
14677781;Kirves OÜ;kehtiv;2019-04-04;
17313909;Kiseljus Buffet OÜ;kehtiv;2025-09-11;
90000951;Kistler-Ritso Eesti Sihtasutus;kehtiv;2018-07-25;
14191707;Kitchenroom OÜ;kehtiv;2017-01-25;
14661981;Kius Resto OÜ;kehtiv;2019-02-15;
14274942;Kkarisma OÜ;kehtiv;2020-05-21;
12789197;Klaud Cafe OÜ;kehtiv;2015-03-10;
12380261;Kliff Butiik OÜ;kehtiv;2018-07-17;
17250340;Klooga Rannabaar OÜ;kehtiv;2025-05-30;
17043964;Kloostri Restoranid OÜ;kehtiv;2024-08-28;
16576937;Klorofüll Green Food Studio OÜ;kehtiv;2022-11-03;
14776454;Kobar OÜ;kehtiv;2021-05-21;
12814311;Kobojango Semolale OÜ;kehtiv;2018-11-16;
16848063;Koda Food OÜ;kehtiv;2023-11-01;
12966593;Kodar OÜ;kehtiv;2024-11-04;
12960521;Kodu Rand OÜ;kehtiv;2016-04-06;
16734158;Koduematoit OÜ;kehtiv;2026-05-04;
14515914;Kodukohvik Johanna OÜ;kehtiv;2018-08-06;
16045482;Kodukohvik OÜ;kehtiv;2021-06-08;
16455820;Koduküla Kohvik OÜ;kehtiv;2022-03-17;
16496492;Kodutoit OÜ;kehtiv;2025-06-12;
12991088;Kodutort OÜ;kehtiv;2023-11-09;
12550310;Koerakoonlane OÜ;kehtiv;2014-05-14;
16290276;KofemanCafe OÜ;kehtiv;2022-03-21;
16454861;Kogu Resto OÜ;kehtiv;2022-07-11;
12727049;Kohila Catering OÜ;kehtiv;2014-10-22;
12173852;Kohtu kohvik OÜ;kehtiv;2011-11-29;
14645781;Kohvi Maja OÜ;kehtiv;2019-05-06;
14682249;Kohviaeg OÜ;kehtiv;2019-03-25;
14951822;Kohvik Ambrosia OÜ;kehtiv;2020-06-16;
12861262;Kohvik Ave OÜ;kehtiv;2015-08-17;
14362385;Kohvik Julius OÜ;kehtiv;2018-02-11;
12838754;Kohvik Kalambuur OÜ;kehtiv;2015-06-19;
16770964;Kohvik Kodu OÜ;kehtiv;2023-07-17;
16199937;Kohvik Lummus OÜ;kehtiv;2021-07-16;
17364462;Kohvik READ OÜ;kehtiv;2026-01-21;
12777691;Kohvik Rosin OÜ;kehtiv;2015-01-20;
14544519;Kohvik2000 OÜ;kehtiv;2018-08-29;
16360539;KohvikSahver OÜ;kehtiv;2021-11-11;
12256934;Kohvikann OÜ;kehtiv;2013-05-20;
14125610;Kohvimehed OÜ;kehtiv;2016-11-07;
17211391;Kohvimeistrid OÜ;kehtiv;2025-12-05;
16041567;Kohvlantik OÜ;kehtiv;2020-12-04;
16473781;Koidu resto OÜ;kehtiv;2022-06-30;
14879993;Koju OÜ;kehtiv;2020-03-06;
12658911;Kokakool OÜ;kehtiv;2014-07-10;
14229099;Kokk & Kelner OÜ;kehtiv;2017-05-29;
11472133;Kokteil Grupp OÜ;kehtiv;2019-07-25;
14814605;Kokteilibaar OÜ;kehtiv;2019-11-04;
16633629;Kokteilikas OÜ;kehtiv;2023-01-25;
11697889;Kolevant OÜ;kehtiv;2017-07-02;
14309592;Kolfour OÜ;kehtiv;2017-11-17;
11662158;Kolhethi OÜ;kehtiv;2011-05-16;
12763985;Kolket OÜ;kehtiv;2014-12-15;
12922012;Kollane Karussell OÜ;kehtiv;2016-03-18;
16029359;Kollane Porgand OÜ;kehtiv;2022-06-15;
14167867;Kollane Sibul OÜ;kehtiv;2017-01-30;
17209269;Kolm Kraani OÜ;kehtiv;2025-04-09;
17075829;Kolm Maali OÜ;kehtiv;2025-01-19;
14047034;Kolm Puuda Soola OÜ;kehtiv;2021-12-01;
16975376;Kolm Sõpra OÜ;kehtiv;2024-07-05;
17024849;Kolm ampsu OÜ;kehtiv;2024-11-14;
12896496;Kolm ja pool Pirni OÜ;kehtiv;2015-09-01;
16619307;Kolmanda Korruse Kohvik OÜ;kehtiv;2022-11-27;
