"Number";"Ettevõtja nimi";"Registrikood";"Kehtivuse algus";"Kehtiv";"Tegevusala";"Tegevuskoha aadress"
"KTO025278";"Armilde OÜ";"16770421";"19.06.2025";"Jah";"Toitlustamine";"Tedre, Võikvere küla, Jõgeva vald, Jõgeva maakond"
"KTO025279";"Karepa Selts";"80183658";"19.06.2025";"Jah";"Toitlustamine";"Rahvamaja, Karepa küla, Haljala vald, Lääne-Viru maakond, 45401"
"";"";"";"";"";"";"Rahvamaja, Karepa küla, Haljala vald, Lääne-Viru maakond, 45401"
"KTO025280";"Piirivee OÜ";"14884283";"19.06.2025";"Jah";"Toitlustamine";"Klubi, Tooni küla, Tartu vald, Tartu maakond, 62603"
"KTO025275";"OÜ HOLA GRILL";"17104287";"18.06.2025";"Jah";"Toitlustamine";"Raadiku tn 8/1, Lasnamäe linnaosa, Tallinn, Harju maakond, 13812"
"KTO025276";"DeLiner Project OÜ";"17232312";"18.06.2025";"Jah";"Toitlustamine";"A. Elleri tn 11, Tartu linn, Tartu linn, Tartu maakond, 51011"
"KTO025271";"Vana madrus OÜ";"17193523";"17.06.2025";"Jah";"Toitlustamine";"Kõpu tuletorn, Mägipe küla, Hiiumaa vald, Hiiu maakond, 92233"
"";"";"";"";"";"";"Ristna tuletorn, Kalana küla, Hiiumaa vald, Hiiu maakond, 92230"
"";"";"";"";"";"";"Põhjakalda tee 7, Jägala-Joa küla, Jõelähtme vald, Harju maakond, 74212"
"KTO025272";"NordAsia OÜ";"17065437";"17.06.2025";"Jah";"Toitlustamine";"Magdaleena tn 3-41, Kesklinna linnaosa, Tallinn, Harju maakond, 11312"
"KTO025273";"Osaühing Sretensk";"14294548";"17.06.2025";"Jah";"Toitlustamine";"Müürivahe tn 52, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"KTO025274";"Satumaa OÜ";"17249092";"17.06.2025";"Jah";"Toitlustamine";"Müürivahe tn 52, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"KTO025270";"Velly OÜ";"17207969";"15.06.2025";"Jah";"Toitlustamine";"Tallinna tn 5, Kuressaare linn, Saaremaa vald, Saare maakond, 93819"
"KTO025268";"OÜ Lust ja Lillepidu";"16337948";"12.06.2025";"Jah";"Toitlustamine";"Kvartsi tn 16, Tartu linn, Tartu linn, Tartu maakond, 50415"
"KTO025269";"Kodutoit OÜ";"16496492";"12.06.2025";"Jah";"Toitlustamine";"Pargi tn 2a, Elva linn, Elva vald, Tartu maakond, 61507"
"KTO025265";"AnniElli OÜ";"17252929";"11.06.2025";"Jah";"Toitlustamine";"Küti tee 13-2, Peetri alevik, Rae vald, Harju maakond, 75312"
"KTO025266";"Arkadel Invest OÜ";"11333756";"11.06.2025";"Jah";"Toitlustamine";"Vanapagana, Pärna küla, Hiiumaa vald, Hiiu maakond, 92017"
"KTO025267";"Annlorii OÜ";"17213562";"11.06.2025";"Jah";"Toitlustamine";"Tuuliku, Kalme küla, Põltsamaa vald, Jõgeva maakond, 72401"
"KTO025263";"Osteria Group OÜ";"16776234";"10.06.2025";"Jah";"Toitlustamine";"Ahtri tn 6, Kesklinna linnaosa, Tallinn, Harju maakond, 10151"
"KTO025264";"BAGEL&LURCH OÜ";"14476338";"10.06.2025";"Jah";"Toitlustamine";"Marati tn 5/2, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 11712 "
"KTO025258";"Werton OÜ";"14211083";"09.06.2025";"Jah";"Toitlustamine";"Kaasiku, Uue-Antsla küla, Antsla vald, Võru maakond"
"KTO025259";"Viru16 OÜ";"17159905";"09.06.2025";"Jah";"Toitlustamine";"Viru tn 16, Kadrina alevik, Kadrina vald, Lääne-Viru maakond, 45201"
"KTO025260";"Maitsevõlu OÜ";"17130356";"09.06.2025";"Jah";"Toitlustamine";"Jüri, Mäeküla, Haapsalu linn, Lääne maakond, 90437"
"KTO025261";"kubaresto OÜ";"17058469";"09.06.2025";"Jah";"Toitlustamine";"F. G. Adoffi tn 11, Rakvere linn, Lääne-Viru maakond, 44310"
"KTO025262";"Veinimeel OÜ";"17192966";"09.06.2025";"Jah";"Toitlustamine";"Magasini tn 5, Tartu linn, Tartu linn, Tartu maakond, 51005"
"KTO025255";"Värske Mahl OÜ";"16915138";"06.06.2025";"Jah";"Toitlustamine";"J. Sütiste tee 9-64, Mustamäe linnaosa, Tallinn, Harju maakond"
"KTO025256";"Kratt Grupp OÜ";"17225594";"06.06.2025";"Jah";"Toitlustamine";"Spordi tn 9, Käina alevik, Hiiumaa vald, Hiiu maakond, 92101"
"KTO025254";"PAKSU POISI PUBI OÜ";"17226910";"05.06.2025";"Jah";"Toitlustamine";"Poe, Uhtjärve küla, Antsla vald, Võru maakond, 66508"
"KTO025253";"LÖFT OÜ";"17249844";"05.06.2025";"Jah";"Toitlustamine";"Paljassaare tee 20, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10313"
"KTO025252";"Kalastusparadiis OÜ";"16886075";"03.06.2025";"Jah";"Toitlustamine";"Valuoja pst 2b, Viljandi linn, Viljandi maakond, 71016"
"KTO025249";"OÜ Meresassi";"14999757";"02.06.2025";"Jah";"Toitlustamine";"Sassi, Hiiessaare küla, Hiiumaa vald, Hiiu maakond, 92335"
"";"";"";"";"";"";"Sassi, Hiiessaare küla, Hiiumaa vald, Hiiu maakond, 93225"
"KTO025250";"Tähe Tramm OÜ";"17096553";"02.06.2025";"Jah";"Toitlustamine";"Tähe tn 21-6, Tartu linn, Tartu linn, Tartu maakond, 50103"
"KTO025213";"Hiiu?näks OÜ";"17236008";"01.06.2025";"Jah";"Toitlustamine";"Aiandi, Jausa küla, Hiiumaa vald, Hiiu maakond, 92003"
"KTO025248";"Klooga Rannabaar OÜ";"17250340";"30.05.2025";"Jah";"Toitlustamine";"Mere põik 4, Kloogaranna küla, Lääne-Harju vald, Harju maakond, 76708"
"KTO025244";"Novempes OÜ";"17236296";"29.05.2025";"Jah";"Toitlustamine";"Türi tn 7, Kesklinna linnaosa, Tallinn, Harju maakond, 11314"
"KTO025245";"OÜ PhoenixVisions";"16978831";"29.05.2025";"Jah";"Toitlustamine";"Liivaluite tee 4, Vääna-Jõesuu küla, Harku vald, Harju maakond, 76909"
"KTO025246";"Meduseld OÜ";"17251433";"29.05.2025";"Jah";"Toitlustamine";"Pargi tn, Vana-Vigala küla, Märjamaa vald, Rapla maakond"
"KTO025247";"Rannaka Bistroo OÜ";"17100220";"29.05.2025";"Jah";"Toitlustamine";"Rannarootsi tee 1, Uuemõisa küla, Haapsalu linn, Lääne maakond, 90404"
"KTO025243";"Truvato OÜ";"12627922";"28.05.2025";"Jah";"Toitlustamine";"Kesk tn 5-1, Põlva linn, Põlva vald, Põlva maakond, 63308"
"KTO025238";"Jõeääre Kohvik OÜ";"17232559";"27.05.2025";"Jah";"Toitlustamine";"Rebase tn 18, Tartu linn, Tartu linn, Tartu maakond"
"KTO025239";"Suminad OÜ";"17238315";"27.05.2025";"Jah";"Toitlustamine";"Kauba tn 1-1, Kuressaare linn, Saaremaa vald, Saare maakond, 93819"
"KTO025240";"Mahe Kohvik OÜ";"17189734";"27.05.2025";"Jah";"Toitlustamine";"Volta tn 1a-1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10412"
"KTO025241";"KUJI OÜ";"17205924";"27.05.2025";"Jah";"Toitlustamine";"Lõõtsa tn 4, Lasnamäe linnaosa, Tallinn, Harju maakond, 11415"
"KTO025237";"OÜ Kamsan";"17226659";"24.05.2025";"Jah";"Toitlustamine";"Mere pst 22, Pärnu linn, Pärnu linn, Pärnu maakond, 80012"
"KTO025178";"Kellive OÜ";"17210859";"23.05.2025";"Jah";"Toitlustamine";"Ehte tn 4, Haapsalu linn, Haapsalu linn, Lääne maakond, 90503"
"KTO025234";"Rokitron OÜ";"17164183";"23.05.2025";"Jah";"Toitlustamine";"Hospidali tn 14-8, Pärnu linn, Pärnu linn, Pärnu maakond, 80011"
"KTO025235";"M2 Haldus OÜ";"14910993";"23.05.2025";"Jah";"Toitlustamine";"Manufaktuuri tn 4/1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond"
"KTO025236";"Terratunes OÜ";"14394439";"23.05.2025";"Jah";"Toitlustamine";"Lossiplats 3, Haapsalu linn, Haapsalu linn, Lääne maakond, 90502"
"KTO025231";"Srilankan tamil express OÜ";"16989007";"22.05.2025";"Jah";"Toitlustamine";"Punane tn 50, Lasnamäe linnaosa, Tallinn, Harju maakond"
"KTO025232";"OÜ Japikreeta";"16998733";"22.05.2025";"Jah";"Toitlustamine";"Kirde tn 28, Elva linn, Elva vald, Tartu maakond, 61506"
"KTO025228";"OÜ AVGUSTA";"12476156";"21.05.2025";"Jah";"Toitlustamine";"Veetorni tn 9, Jüri alevik, Rae vald, Harju maakond, 75301"
"KTO025229";"Pink Elevant OÜ";"16492175";"21.05.2025";"Jah";"Toitlustamine";"Mündi tn 4, Kesklinna linnaosa, Tallinn, Harju maakond, 10123"
"KTO025230";"Metsasadam OÜ";"14129275";"21.05.2025";"Jah";"Toitlustamine";"Rannaääre, Jõeranna küla, Hiiumaa vald, Hiiu maakond, 92201"
"KTO025227";"VWR OÜ";"17239521";"20.05.2025";"Jah";"Toitlustamine";"Piiri tn 6, Võsu alevik, Haljala vald, Lääne-Viru maakond, 45501"
"KTO025226";"OÜ JumalAita";"17195309";"19.05.2025";"Jah";"Toitlustamine";"Rüütli tn 21/1, Pärnu linn, Pärnu linn, Pärnu maakond, 80011"
"KTO025223";"OÜ Briis Bar";"16710749";"17.05.2025";"Jah";"Toitlustamine";"Sadama tn 28, Kärdla linn, Hiiumaa vald, Hiiu maakond, 92411"
"KTO025224";"Bunyui Henry Yusinyu";"16618481";"17.05.2025";"Jah";"Toitlustamine";"J. Sütiste tee 30, Mustamäe linnaosa, Tallinn, Harju maakond, 13411"
"KTO025220";"GroMur toit OÜ";"17225358";"16.05.2025";"Jah";"Toitlustamine";"Võru tn 77, Tartu linn, Tartu linn, Tartu maakond, 50112"
"KTO025221";"Thaipinas OÜ";"17240808";"16.05.2025";"Jah";"Toitlustamine";"Merimetsa tn 99, Pärnu linn, Pärnu linn, Pärnu maakond, 80026"
"KTO025222";"Yacht Food OÜ";"17230520";"16.05.2025";"Jah";"Toitlustamine";"Sadama tn 30a, Kärdla linn, Hiiumaa vald, Hiiu maakond, 92411"
"KTO025218";"LaSmak OÜ";"17182904";"14.05.2025";"Jah";"Toitlustamine";"Mareka vkt, Laulasmaa küla, Lääne-Harju vald, Harju maakond, 76702"
"KTO025216";"Vanaase Kodumajutuse OÜ";"16980615";"13.05.2025";"Jah";"Toitlustamine";"Vanaase, Hindsa küla, Setomaa vald, Võru maakond, 65003"
"KTO025217";"OÜ Mustard ja Pastard";"16681835";"13.05.2025";"Jah";"Toitlustamine";"Tartu mnt 6, Alatskivi alevik, Peipsiääre vald, Tartu maakond, 60201"
"KTO025212";"Brice OÜ";"16903626";"12.05.2025";"Jah";"Toitlustamine";"Jõe tn 5, Kesklinna linnaosa, Tallinn, Harju maakond, 74701"
"KTO025214";"RMT ENT OÜ";"17227624";"12.05.2025";"Jah";"Toitlustamine";"Juhkentali tn 11, Kesklinna linnaosa, Tallinn, Harju maakond, 10132"
"KTO025211";"Karlmuhust OÜ";"12524240";"09.05.2025";"Jah";"Toitlustamine";"Meierei, Liiva küla, Muhu vald, Saare maakond, 94701"
"KTO025209";"Põru Putka OÜ";"16106485";"08.05.2025";"Jah";"Toitlustamine";"Põru, Põru küla, Otepää vald, Valga maakond, 67210"
"KTO025210";"Lassinaator OÜ";"16314735";"08.05.2025";"Jah";"Toitlustamine";"Tallinna mnt 34, Aruküla alevik, Raasiku vald, Harju maakond, 75201"
"KTO025208";"OÜ Burrata";"16538138";"07.05.2025";"Jah";"Toitlustamine";"Tuulekivi tee 7, Miiduranna küla, Viimsi vald, Harju maakond"
"KTO025207";"Bagababo Hanglabini OÜ";"16503737";"06.05.2025";"Jah";"Toitlustamine";"Kopli tn 2c, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10412"
"KTO025204";"Ginzburg OÜ";"16092719";"05.05.2025";"Jah";"Toitlustamine";"Lossi tn 21, Viljandi linn, Viljandi maakond, 71004"
"KTO025205";"Double Trouble OÜ";"17205663";"05.05.2025";"Jah";"Toitlustamine";"Reedo, Juba küla, Võru vald, Võru maakond"
"";"";"";"";"";"";"F. R. Kreutzwaldi tn 59, Võru linn, Võru maakond, 65610"
"KTO025206";"Dharma Resort OÜ";"17201205";"05.05.2025";"Jah";"Toitlustamine";"Haigru, Rässa küla, Muhu vald, Saare maakond, 94718"
"KTO025201";"OÜ Olmax Grupp";"11907341";"02.05.2025";"Jah";"Toitlustamine";"Roseni tn 9, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025202";"Shaurma family OÜ";"17215851";"02.05.2025";"Jah";"Toitlustamine";"Lihula mnt 3, Haapsalu linn, Haapsalu linn, Lääne maakond, 90507"
"KTO025203";"PPS lounge OÜ";"17200542";"02.05.2025";"Jah";"Toitlustamine";"Pargi tn, Järva-Jaani alev, Järva vald, Järva maakond, 73301"
"KTO025184";"PITSAKANGELASED OÜ";"17223261";"01.05.2025";"Jah";"Toitlustamine";"Vitamiini tn 1, Tartu linn, Tartu linn, Tartu maakond, 50603"
"KTO025200";"Põhumaja OÜ";"14982248";"01.05.2025";"Jah";"Toitlustamine";"Kännu, Kurepalu küla, Kastre vald, Tartu maakond"
"KTO025199";"Tiikri OÜ";"17228960";"29.04.2025";"Jah";"Toitlustamine";"Väike-Karja tn 1, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"KTO025198";"Miinusbaar OÜ";"17227736";"28.04.2025";"Jah";"Toitlustamine";"Uustalu, Sääre küla, Kihnu vald, Pärnu maakond, 88005"
"KTO025197";"ProBurger OÜ";"17159615";"27.04.2025";"Jah";"Toitlustamine";"Vikerlase tn 23, Lasnamäe linnaosa, Tallinn, Harju maakond, 13619"
"KTO025195";"Buena Trade OÜ";"11447371";"25.04.2025";"Jah";"Toitlustamine";"Rutu tn 1-3, Kesklinna linnaosa, Tallinn, Harju maakond, 1"
"KTO025196";"Mull & Maik OÜ";"17210983";"25.04.2025";"Jah";"Toitlustamine";"Kalda tee 2-84, Tartu linn, Tartu linn, Tartu maakond, 50703"
"KTO025193";"MustMull OÜ";"17092609";"24.04.2025";"Jah";"Toitlustamine";"Nurme tn 4, Toila alevik, Toila vald, Ida-Viru maakond, 41702"
"KTO025190";"Suska OÜ";"16067398";"23.04.2025";"Jah";"Toitlustamine";"Pikk tn 3-7, Harku alevik, Harku vald, Harju maakond, 76902"
"KTO025189";"Vabaduse Maitsed OÜ";"17167856";"23.04.2025";"Jah";"Toitlustamine";"Vabaduse pst 39, Nõmme linnaosa, Tallinn, Harju maakond, 11212"
"KTO025192";"Pabertiiger OÜ";"17107831";"23.04.2025";"Jah";"Toitlustamine";"Kompanii tn 2, Tartu linn, Tartu linn, Tartu maakond, 50603"
"KTO025181";"Miranova OÜ";"17211416";"22.04.2025";"Jah";"Toitlustamine";"Kivila tn 13-137, Lasnamäe linnaosa, Tallinn, Harju maakond, 13917"
"KTO025188";"Osaühing T.R. TAMME AUTO";"10020438";"22.04.2025";"Jah";"Toitlustamine";"Sadama tee 6, Rannapungerja küla, Alutaguse vald, Ida-Viru maakond, 42208"
"KTO025185";"Colour Gourmet OÜ";"16646454";"21.04.2025";"Jah";"Toitlustamine";"Vana-Viru tn 10, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025186";"OÜ kooki tahad";"16864665";"21.04.2025";"Jah";"Toitlustamine";"Apteegi tn 2, Elva linn, Elva vald, Tartu maakond, 61507"
"KTO025187";"Captain Roosters OÜ";"17224695";"21.04.2025";"Jah";"Toitlustamine";"Narva mnt 5-1, Kesklinna linnaosa, Tallinn, Harju maakond, 10117"
"KTO025183";"OÜ RONANOR";"16664914";"16.04.2025";"Jah";"Toitlustamine";"Oja tn 22, Kallaste linn, Peipsiääre vald, Tartu maakond, 60104"
"KTO025182";"BEP OÜ";"14942220";"15.04.2025";"Jah";"Toitlustamine";"Kalma tn 11, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10411"
"KTO025179";"VinoDeli OÜ";"16187414";"11.04.2025";"Jah";"Toitlustamine";"Kaubamaja tn 6, Kesklinna linnaosa, Tallinn, Harju maakond, 10143"
"KTO025180";"lumbini OÜ";"17074563";"11.04.2025";"Jah";"Toitlustamine";"Kallaste tn 7, Tabasalu alevik, Harku vald, Harju maakond, 76901"
"KTO025175";"R-ecole OÜ";"17012317";"09.04.2025";"Jah";"Toitlustamine";"Mere tn, Kunda linn, Viru-Nigula vald, Lääne-Viru maakond, 44109"
"KTO025176";"Kolm Kraani OÜ";"17209269";"09.04.2025";"Jah";"Toitlustamine";"Kaare tn 10, Kärdla linn, Hiiumaa vald, Hiiu maakond, 92411"
"KTO025177";"Suveterrass OÜ";"16992725";"09.04.2025";"Jah";"Toitlustamine";"Kai tn 5, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025173";"Liivimaa Põllumajandus OÜ";"14323575";"08.04.2025";"Jah";"Toitlustamine";"Tähtvere tn 4, Tartu linn, Tartu linn, Tartu maakond, 51007"
"KTO025170";"Gallerycafe OÜ";"16216280";"07.04.2025";"Jah";"Toitlustamine";"Rotermanni tn 6, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025171";"Cairostar OÜ";"17043060";"07.04.2025";"Jah";"Toitlustamine";"Pirita tee 20/3, Kesklinna linnaosa, Tallinn, Harju maakond, 12011"
"KTO025169";"Profbaar OÜ";"16466686";"06.04.2025";"Jah";"Toitlustamine";"Karsti tn 5-30, Mustamäe linnaosa, Tallinn, Harju maakond, 12620"
"KTO025168";"Anneli Martson";"17149315";"05.04.2025";"Jah";"Toitlustamine";"Lohu, Lemsi küla, Kihnu vald, Pärnu maakond, 88002"
"KTO025166";"Noarootsi Teatrigaraa? OÜ";"17198006";"04.04.2025";"Jah";"Toitlustamine";"Pürksi keskus, Paslepa küla / Pasklep, Lääne-Nigula vald, Lääne maakond"
"KTO025167";"Blondu OÜ";"17199359";"04.04.2025";"Jah";"Toitlustamine";"Võlli tee 4, Tori alevik, Tori vald, Pärnu maakond, 86801"
"";"";"";"";"";"";"Võlli tee 4, Tori alevik, Tori vald, Pärnu maakond, 86801"
"KTO025165";"FUGO EXPRESS OÜ";"17192274";"03.04.2025";"Jah";"Toitlustamine";"Männiku tee 145, Männiku küla, Saku vald, Harju maakond, 75511"
"";"";"";"";"";"";"Männiku tee 145, Männiku küla, Saku vald, Harju maakond, 75511"
"KTO025164";"Raekohv OÜ";"16857429";"01.04.2025";"Jah";"Toitlustamine";"Tööstuse tn 47d, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10416"
"KTO025163";"Vibora OÜ";"17159727";"31.03.2025";"Jah";"Toitlustamine";"Lepatriinu põik 2, Jälgimäe küla, Saku vald, Harju maakond, 76404"
"KTO025162";"Jakob & Sons OÜ";"17168583";"29.03.2025";"Jah";"Toitlustamine";"Masina tn 1, Kesklinna linnaosa, Tallinn, Harju maakond, 10113"
"KTO025161";"EKT Korraldus OÜ";"17205841";"28.03.2025";"Jah";"Toitlustamine";"Aia tn 4, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025160";"OÜ Hõrgutaja";"17193210";"27.03.2025";"Jah";"Toitlustamine";"Lootsi tn 10/2, Kesklinna linnaosa, Tallinn, Harju maakond, 10151"
"KTO025157";"DZUNGLI OÜ";"17192937";"26.03.2025";"Jah";"Toitlustamine";"4. Roheline tn 8, Narva linn, Ida-Viru maakond, 20605"
"KTO025158";"Mon Reflet S OÜ";"17031909";"26.03.2025";"Jah";"Toitlustamine";"Roseni tn 9, Kesklinna linnaosa, Tallinn, Harju maakond, 10143"
"KTO025156";"LaMemme OÜ";"17154434";"25.03.2025";"Jah";"Toitlustamine";"Endla tn 45, Kristiine linnaosa, Tallinn, Harju maakond, 10615"
"KTO025153";"K&T Lokaal OÜ";"16136517";"24.03.2025";"Jah";"Toitlustamine";"Kopli tn 4, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10412"
"KTO025154";"Viikingite grill ja kala OÜ";"17100852";"24.03.2025";"Jah";"Toitlustamine";"Lõuna tee 1, Saula küla, Kose vald, Harju maakond, 75117"
"KTO025155";"Investoraatorid OÜ";"16632050";"24.03.2025";"Jah";"Toitlustamine";"Rotermanni tn 18/2, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025149";"Karaoke Baar OÜ";"17201530";"21.03.2025";"Jah";"Toitlustamine";"Roosikrantsi tn 15-1a, Kesklinna linnaosa, Tallinn, Harju maakond, 10119"
"KTO025150";"Everyone's OÜ";"16770332";"21.03.2025";"Jah";"Toitlustamine";"Pikk tn 31, Kesklinna linnaosa, Tallinn, Harju maakond, 10133"
"KTO025151";"Copperhead Capital OÜ";"14958391";"21.03.2025";"Jah";"Toitlustamine";"Kalasadama tn 5, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10415"
"KTO025152";"Carbridge OÜ";"17081238";"21.03.2025";"Jah";"Toitlustamine";"Kalasadama tn 5, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10415"
"KTO025148";"Globeflex OÜ";"16307597";"17.03.2025";"Jah";"Toitlustamine";"Riia mnt 54, Pärnu linn, Pärnu linn, Pärnu maakond, 80013"
"KTO025146";"Nautica golfikeskus OÜ";"17179998";"16.03.2025";"Jah";"Toitlustamine";"Ahtri tn 9, Kesklinna linnaosa, Tallinn, Harju maakond, 10151"
"KTO025147";"OÜ Atribor";"11963457";"16.03.2025";"Jah";"Toitlustamine";"Vabaduse väljak 9, Kesklinna linnaosa, Tallinn, Harju maakond, 10146"
"KTO025145";"Capto Invest OÜ";"14487900";"15.03.2025";"Jah";"Toitlustamine";"Mölderi, Kabli küla, Häädemeeste vald, Pärnu maakond, 86002"
"KTO025144";"Vigurid OÜ";"14319691";"14.03.2025";"Jah";"Toitlustamine";"43 Aovere-Kallaste-Omedu tee, Haapsipea küla, Peipsiääre vald, Tartu maakond, 60203"
"KTO025143";"Alaz OÜ";"16616217";"11.03.2025";"Jah";"Toitlustamine";"Võrgu tn 3, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10415"
"KTO025133";"Limoncello OÜ";"17013544";"10.03.2025";"Jah";"Toitlustamine";"Vana-Viru tn 6, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025142";"Pikkpoiss OÜ";"16498396";"10.03.2025";"Jah";"Toitlustamine";"Ankru tn 8, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 11713"
"KTO025141";"Kantribaar OÜ";"17172320";"07.03.2025";"Jah";"Toitlustamine";"Magasini tn 3g-11, Kesklinna linnaosa, Tallinn, Harju maakond, 10138 "
"KTO025139";"Bontlehato Babotadiba OÜ";"14981125";"06.03.2025";"Jah";"Toitlustamine";"Vabaduse väljak 9, Kesklinna linnaosa, Tallinn, Harju maakond, 10142"
"KTO025138";"Kaja Projects OÜ";"14532226";"05.03.2025";"Jah";"Toitlustamine";"Rahumäe tee 27, Nõmme linnaosa, Tallinn, Harju maakond, 11614"
"KTO025136";"OÜ Metsiku Piisoni Saloon";"10662995";"03.03.2025";"Jah";"Toitlustamine";"Roosimaja, Põlula küla, Vinni vald, Lääne-Viru maakond, 46711"
"KTO025137";"Merejanu OÜ";"17188404";"03.03.2025";"Jah";"Toitlustamine";"Ruhnu kordon, Ruhnu küla, Ruhnu vald, Saare maakond, 93001"
"KTO025135";"Jahu Kõrts OÜ";"16741431";"01.03.2025";"Jah";"Toitlustamine";"Kopli tn 71, Põhja-Tallinna linnaosa, Tallinn, Harju maakond"
"KTO025132";"FALL RESTO OÜ";"16590819";"28.02.2025";"Jah";"Toitlustamine";"Rahukohtu tn 5, Kesklinna linnaosa, Tallinn, Harju maakond, 10130"
"KTO025134";"Sabbal Singh";"17087927";"28.02.2025";"Jah";"Toitlustamine";"Gonsiori tn 12, Kesklinna linnaosa, Tallinn, Harju maakond, 10117"
"KTO025130";"M&K GROUP UÜ";"16965484";"27.02.2025";"Jah";"Toitlustamine";"Järve vkt 16, Karula küla, Viljandi vald, Viljandi maakond, 71070"
"KTO025131";"Nüanss Drinks OÜ";"17180549";"27.02.2025";"Jah";"Toitlustamine";"Kadaka tn 13, Elva linn, Elva vald, Tartu maakond, 61007"
"KTO025129";"Think King Games OÜ";"16474734";"26.02.2025";"Jah";"Toitlustamine";"Jaani tn 8-1, Tartu linn, Tartu linn, Tartu maakond, 51007"
"KTO025128";"EVELIA OÜ";"16518325";"25.02.2025";"Jah";"Toitlustamine";"Anne tn 24, Tartu linn, Tartu linn, Tartu maakond, 50604"
"KTO025127";"Bagus OÜ";"17141503";"16.02.2025";"Jah";"Toitlustamine";"Raudtee tn 15, Nõmme linnaosa, Tallinn, Harju maakond, 11621"
"KTO025125";"OÜ Peipsimees";"16898977";"12.02.2025";"Jah";"Toitlustamine";"Oglase, Liikatku küla, Jõgeva vald, Jõgeva maakond, 48508"
"KTO025126";"Kaisi OÜ";"16161923";"12.02.2025";"Jah";"Toitlustamine";"Ojaääre tn 5a, Tüki küla, Tartu linn, Tartu maakond"
"KTO025124";"Sanmaks OÜ";"14905957";"09.02.2025";"Jah";"Toitlustamine";"Riia tn 2, Tartu linn, Tartu linn, Tartu maakond, 51004"
"KTO025120";"WildSouls OÜ";"12472483";"06.02.2025";"Jah";"Toitlustamine";"Mustamäe tee 43, Kristiine linnaosa, Tallinn, Harju maakond, 10619"
"KTO025121";"OÜ Ürg";"14082792";"06.02.2025";"Jah";"Toitlustamine";"Vetka/1, Mähkli küla, Antsla vald, Võru maakond, 66412"
"KTO025122";"Kringeling OÜ";"17103135";"06.02.2025";"Jah";"Toitlustamine";"Metsa tn 3, Kiviõli linn, Lüganuse vald, Ida-Viru maakond, 43125"
"KTO025123";"BAHUS OÜ";"14316592";"06.02.2025";"Jah";"Toitlustamine";"Roosikrantsi tn 23, Kesklinna linnaosa, Tallinn, Harju maakond, 10141"
"KTO025118";"Pöide Mesi OÜ";"16048635";"05.02.2025";"Jah";"Toitlustamine";"Tallinna tn 11, Kuressaare linn, Saaremaa vald, Saare maakond, 93819"
"KTO025116";"Bogodako Hofuhotutu OÜ";"14523227";"02.02.2025";"Jah";"Toitlustamine";"Kinga tn 1, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"";"";"";"";"";"";"Vana turg 2, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"";"";"";"";"";"";"Suur-Karja tn 11, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"KTO025114";"Bar2Go OÜ";"17163226";"27.01.2025";"Jah";"Toitlustamine";"Aiandi tee 28/1-6, Viimsi alevik, Viimsi vald, Harju maakond, 74001"
"KTO025113";"Kõrbes OÜ";"16771461";"24.01.2025";"Jah";"Toitlustamine";"Kopli tn 14, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10412"
"KTO025112";"Pizzakahvel OÜ";"17133857";"23.01.2025";"Jah";"Toitlustamine";"Mere pst 6, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025109";"MRZOOG TRADING OÜ";"16538894";"22.01.2025";"Jah";"Toitlustamine";"A. H. Tammsaare tee 89, Mustamäe linnaosa, Tallinn, Harju maakond, 13416"
"KTO025110";"ARIRAN OÜ";"10091877";"22.01.2025";"Jah";"Toitlustamine";"Telliskivi tn 35, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10611"
"KTO025111";"ReilKit OÜ";"16736818";"22.01.2025";"Jah";"Toitlustamine";"Vene tn 33, Kesklinna linnaosa, Tallinn, Harju maakond, 10123"
