"Number";"Ettevõtja nimi";"Registrikood";"Kehtivuse algus";"Kehtiv";"Tegevusala";"Tegevuskoha aadress"
"KTO025402";"Audiobaar OÜ";"17348687";"26.10.2025";"Jah";"Toitlustamine";"Telliskivi tn 51a, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10611"
"KTO025400";"ALS OÜ";"16452968";"22.10.2025";"Jah";"Toitlustamine";"Kadaka tee 70c, Mustamäe linnaosa, Tallinn, Harju maakond"
"KTO025399";"Paldiski PuB OÜ";"17339091";"17.10.2025";"Jah";"Toitlustamine";"Rae tn 32, Paldiski linn, Lääne-Harju vald, Harju maakond, 76806"
"KTO025398";"Fieston OÜ";"17068982";"15.10.2025";"Jah";"Toitlustamine";"Tähe tn 54-24, Tartu linn, Tartu linn, Tartu maakond, 50103"
"KTO025397";"Veinibaar OÜ";"17347647";"14.10.2025";"Jah";"Toitlustamine";"Toom-Kuninga tn 26/1-6, Kesklinna linnaosa, Tallinn, Harju maakond"
"KTO025396";"Hevilihas OÜ";"16949232";"09.10.2025";"Jah";"Toitlustamine";"Lai tn 10/3, Pärnu linn, Pärnu linn, Pärnu maakond, 80010"
"KTO025393";"AS4FOOD OÜ";"17329425";"08.10.2025";"Jah";"Toitlustamine";"Tare tn 14-4, Kesklinna linnaosa, Tallinn, Harju maakond, 10135"
"KTO025394";"Miniresto OÜ";"17216000";"08.10.2025";"Jah";"Toitlustamine";"Vanaturu kael 10-7, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"KTO025395";"Forteist OÜ";"16158750";"08.10.2025";"Jah";"Toitlustamine";"Turu plats 2, Nõmme linnaosa, Tallinn, Harju maakond, 11614"
"";"";"";"";"";"";"Turu plats 2, Nõmme linnaosa, Tallinn, Harju maakond, 11614"
"KTO025390";"Õlleresto OÜ";"17212723";"07.10.2025";"Jah";"Toitlustamine";"Telliskivi tn 60/2, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10412"
"KTO025391";"Davydov Catering OÜ";"17337028";"07.10.2025";"Jah";"Toitlustamine";"Kivilinna tn 19, Narva linn, Ida-Viru maakond, 20607"
"KTO025392";"RESTORAN Sadama 4 OÜ";"16618110";"07.10.2025";"Jah";"Toitlustamine";"Sadama tn 4, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025389";"AS Tallinn Airport GH";"11206785";"01.10.2025";"Jah";"Toitlustamine";"Tartu mnt 101, Lasnamäe linnaosa, Tallinn, Harju maakond, 10112"
"KTO025388";"Roofood OÜ";"17222992";"30.09.2025";"Jah";"Toitlustamine";"Kalaranna tn 8/12-27, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10415"
"KTO025387";"Loliisu OÜ";"16958136";"27.09.2025";"Jah";"Toitlustamine";"Karja tn 3, Põltsamaa linn, Põltsamaa vald, Jõgeva maakond, 48106"
"KTO025386";"MARVEL STUDIO OÜ";"16576050";"24.09.2025";"Jah";"Toitlustamine";"Lai tn 20, Kesklinna linnaosa, Tallinn, Harju maakond, 10133"
"";"";"";"";"";"";"Lai tn 20, Kesklinna linnaosa, Tallinn, Harju maakond, 10133"
"KTO025385";"SpiritLight OÜ";"16802888";"23.09.2025";"Jah";"Toitlustamine";"Rahu tn 39, Loksa linn, Harju maakond, 74806"
"KTO025384";"Smartplate Food OÜ";"17306631";"22.09.2025";"Jah";"Toitlustamine";"Lelle tn 24-68, Kesklinna linnaosa, Tallinn, Harju maakond, 11318"
"KTO025383";"K-Relevant OÜ";"17318545";"19.09.2025";"Jah";"Toitlustamine";"Järvekalda tee 2, Veibri küla, Luunja vald, Tartu maakond, 62220"
"KTO025382";"Peosaal OÜ";"14210250";"17.09.2025";"Jah";"Toitlustamine";"Koidu tn 7a, Raadi alev, Tartu vald, Tartu maakond"
"KTO025381";"AGROSS TEENUSED OÜ";"17243408";"16.09.2025";"Jah";"Toitlustamine";"Vilja tn 4-50, Võru linn, Võru maakond, 65606"
"KTO025355";"BOHEEMLANE OÜ";"17304610";"15.09.2025";"Jah";"Toitlustamine";"Kopli tn 18-1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 11713"
"KTO025379";"OÜ Viskeuss";"16620035";"15.09.2025";"Jah";"Toitlustamine";"Kalevi tn 26, Kuressaare linn, Saaremaa vald, Saare maakond, 93815"
"KTO025380";"Mõisavärava OÜ";"16570202";"15.09.2025";"Jah";"Toitlustamine";"Mõisavärava tn 1, Raadi alev, Tartu vald, Tartu maakond"
"";"";"";"";"";"";"Aleksandri tn 42a, Tartu linn, Tartu linn, Tartu maakond"
"KTO025378";"BluntCuts OÜ";"16586735";"14.09.2025";"Jah";"Toitlustamine";"Aleksandri tn 53-2, Tartu linn, Tartu linn, Tartu maakond, 50104"
"KTO025377";"MoSpa OÜ";"16773336";"12.09.2025";"Jah";"Toitlustamine";"Pargi tn 16-17, Kuressaare linn, Saaremaa vald, Saare maakond, 93810"
"";"";"";"";"";"";"Kauba tn 13, Kuressaare linn, Saaremaa vald, Saare maakond, 93812"
"KTO025375";"Tangid OÜ";"16735407";"11.09.2025";"Jah";"Toitlustamine";"Vahe tn 28, Pärnu linn, Pärnu linn, Pärnu maakond, 80033"
"KTO025376";"Kiseljus Buffet OÜ";"17313909";"11.09.2025";"Jah";"Toitlustamine";"Lootsi tn 8, Kesklinna linnaosa, Tallinn, Harju maakond, 10151"
"KTO025373";"Jaswal OÜ";"17098517";"10.09.2025";"Jah";"Toitlustamine";"Tallinna mnt 18, Keila linn, Harju maakond, 76608"
"KTO025374";"Lääneranna Kultuuri- ja Noortekeskus";"77001961";"10.09.2025";"Jah";"Toitlustamine";"Tallinna mnt 1a, Lihula linn, Lääneranna vald, Pärnu maakond, 90303"
"";"";"";"";"";"";"Tallinna mnt 1a, Lihula linn, Lääneranna vald, Pärnu maakond, 90303"
"";"";"";"";"";"";"Keskuse tee 3, Kõmsi küla, Lääneranna vald, Pärnu maakond, 90102"
"";"";"";"";"";"";"Lõpe keskus, Lõpe küla, Lääneranna vald, Pärnu maakond, 88402"
"";"";"";"";"";"";"Vallamaja/1, Varbla küla, Lääneranna vald, Pärnu maakond"
"KTO025369";"OÜ AUVÄRAV";"17136821";"09.09.2025";"Jah";"Toitlustamine";"Ahtri tn 6, Kesklinna linnaosa, Tallinn, Harju maakond, 10151"
"KTO025370";"AgriTrade Solutions OÜ";"16953185";"09.09.2025";"Jah";"Toitlustamine";"Võru tn 79, Tartu linn, Tartu linn, Tartu maakond, 50112"
"";"";"";"";"";"";"Paju tn 2, Tartu linn, Tartu linn, Tartu maakond, 50604"
"KTO025371";"Hiiu Käbi OÜ";"17298328";"09.09.2025";"Jah";"Toitlustamine";"Pärnu mnt 325, Nõmme linnaosa, Tallinn, Harju maakond, 11620"
"KTO025372";"CaucasusBar OÜ";"17166437";"09.09.2025";"Jah";"Toitlustamine";"Väike-Karja tn 8, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"KTO025368";"OÜ Eclano";"17297553";"08.09.2025";"Jah";"Toitlustamine";"Papli tn 13, Pärnu linn, Pärnu linn, Pärnu maakond, 80012"
"KTO025367";"Viacheslav Prokopenko";"17239900";"03.09.2025";"Jah";"Toitlustamine";"Soola tn 10, Tartu linn, Tartu linn, Tartu maakond"
"KTO025365";"EXELERA OÜ";"17307317";"02.09.2025";"Jah";"Toitlustamine";"Aia tn 7, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025364";"Pirts OÜ";"16051531";"31.08.2025";"Jah";"Toitlustamine";"Tamme tn 10, Aespa alevik, Kohila vald, Rapla maakond, 79705"
"KTO025363";"Linnapiiril OÜ";"17283947";"29.08.2025";"Jah";"Toitlustamine";"Piirimaa, Reiu küla, Häädemeeste vald, Pärnu maakond, 86508"
"KTO025362";"Saare Grill OÜ";"17307926";"25.08.2025";"Jah";"Toitlustamine";"Jõesuu tee 1, Vihtra küla, Põhja-Pärnumaa vald, Pärnu maakond, 87603"
"";"";"";"";"";"";"Jõesuu tee 1, Vihtra küla, Põhja-Pärnumaa vald, Pärnu maakond, 87603"
